,код СКМТР,Наименование,Маркировка,Регламенты (ГОСТ/ТУ),Параметры,Базисная Единица измерения,ОКПД2,is_tu,ОКПД2_сокр,Параметры парс
152846,4025240094,БЛОК ПИТАНИЯ,HIPER HPU-4M550-PU,,550ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152847,4025240095,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,"ББП-12/0,25 ЕИУС.565111.001",,,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152848,4025240096,БЛОК ПИТАНИЯ,OCZ ZX1250W-UN,,1250ВТ ATX,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152849,4025240119,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,BACK UPS APC,,240,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152850,4025240124,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,BACK-UPS 500,,,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152851,4025240131,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,UPS POWER MAN BASK PRO PLUS,,600,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152852,4025240145,БЛОК ПИТАНИЯ,CISCO PWR-2911-AC,,,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152854,4025240159,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,RACK HEIGHT 2U,,1000VA/670W,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152855,4025240162,БЛОК ПИТАНИЯ,MOTOROLA PWRS-14000-241R,,ОБЕСПЕЧИВАЕТ ПИТАНИЕ ДЛЯ ЗАРЯДНОГО УСТРОЙСТВА И ETHERNET КРЭДЛОВ. ДЛЯ ИСПОЛЬЗОВАНИЯ С MC55/65,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152856,4025240165,БЛОК ПИТАНИЯ,HIPER M600,,"600ВТ ATX2,3, EPS12V 86Х150Х158",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152857,4025240179,БЛОК ПИТАНИЯ,FSP GROUP FSP600-50ARN 88 PLUS 600W,,600ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152858,4025240183,БЛОК ПИТАНИЯ,FSP GROUP SPI PRO 700,,700ВТ ATX12V2.3 80+BRONZE APFC 8ХSATA I/O SWITCH RTL 86Х150Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152859,4025240186,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM WOW 850UWOW-850A-6GG-2440,,850ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152860,4025240187,БЛОК ПИТАНИЯ,ZALMAN ZM500-LE,,500ВТ ATX12V 2.3 / EPS12V 150Х86Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152861,4025240188,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP GROUP AURUM CM 750,,750ВТ PFC ATX12V 2.3 EPS12V 86Х150Х160,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152862,4025240190,БЛОК ПИТАНИЯ,AEROCOOL VX-350,,"ATX12V 2.3 350ВТ 234,7Х198,9Х96,9 1,256КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152863,4025240193,БЛОК ПИТАНИЯ,CODEGEN QORI 350CG,,"350ВТ ATX12V V2.03 20/24+4PIN, DВЕНТ=80 205Х160Х97 0,9КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152864,4025240194,БЛОК ПИТАНИЯ ИМПУЛЬСНЫЙ,MEAN WELL SE-200-3-3,,"200ВТ 3,3В 0-40А 147Х227Х50",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152865,4025240195,БЛОК ПИТАНИЯ,UBIQUITI POE-24-12W-G GP-A240-050G,,"AC=90-260В/DC=24В 0,5А 2ХRJ-45 85Х43Х30 113Г",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152866,4025240196,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP GROUP Q-DION QD-500 80+,,500ВТ PFC ATX 12V 2.3 150Х86Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152867,4025240198,БЛОК ПИТАНИЯ,EXEGATE UN450 EX244554RUS,,"450ВТ ATX12V 2.3 150Х86Х140 0,85КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152868,4025240199,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,ACCORD ACC-450-12-450W,,ATX 450ВТ DВЕНТИЛЯТОРА=120 20+4PIN 86Х150Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152869,4025240200,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА КОМПЬЮТЕРА,FUJITSU DPS-250AB-62,,250ВТ 86Х150Х160 1КГ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152870,4025240227,БЛОК ПИТАНИЯ,AEROCOOL VX PLUS 650W,,"650ВТ ATХ12V 2.3 ВЕНТИЛЯТОР=120Х120 86Х150Х140 1,15КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152871,4025240212,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,3COTT 500ATX,,500ВТ ATX12V: 2.3 DВЕНТИЛЯТОРА=120 86Х150Х160 1280Г,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152873,4025240216,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UTC650EI,,"650ВА/360ВВТ 4РОЗЕТКИ UPSХ4 IEC320C13L 252Х84Х159 3,6КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152874,4025240223,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,HUAWEI UPS-2000-G-1KRTS,,1000ВА 700ВТ/3ХIEC 320 C13/1ХIEC 320 C14/RS-232/ 310Х86Х438 16КГ ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
152875,4025240224,МОДУЛЬ БАТАРЕЙНЫЙ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ,HUAWEI ESS-36V12-9 2AHBPVBB01,,6Х(12В 9А/ЧАС) 410Х438Х88,796,26.20.40.110,0,26,аритикул маркета|модель/исполнение|номин. напряжение|емкость батареи|особенности
152877,4025240228,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,DEXP DPS-500,,500ВТ PFC ATX12V 2.31 150Х86Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
152878,4025240229,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,EXEGATE ATX500-PPX EX221641RUS,,"500ВТ ATХ/12V/2.3/ DВЕНТИЛЯТОРА=140 140Х150Х86 1,58КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
350838,4025201194,БЛОК ПИТАНИЯ ДЛЯ КОММУТАТОРА,HUAWEI PAC600S12-CB,,"12В 50А 600ВТ 90Х215Х40 0,95КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
350839,4025200000,БЛОК ПИТАНИЯ ДЛЯ КОММУТАТОРА,HUAWEI PAC60S12-AR,,60ВТ S5735,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
350972,4025240000,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ИМПУЛЬС СЛИМ 750,,750ВА 450ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
350983,4024500000,БЛОК РАСПРЕДЕЛЕНИЯ ПИТАНИЯ,TRIPPLITE PDUMV20HV,,"RACK PDU, 30A, 230V, (32) C13, (6) C19,1,6М",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
351205,4025000002,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK BASIC 650,,"650ВА 100Х278Х143 4,35КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
351417,4025240235,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC EASY-UPS BV500I-GR,,"500ВА 300ВТ 92Х160 4,2КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
351646,4025201195,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UTI675E,,675ВА РОЗЕТКИ=2,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
352399,4025240233,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,HUAWEI UPS-2000-G-1KRTL,,"1000ВА 800ВТ/4ХIEC 320 C13/1ХIEC 320 C14/RS-232/ 438Х88Х630 28,9КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
355362,4025201196,БЛОК ПИТАНИЯ КОММУТАТОРА,CISCO N55-PAC-1100W,,1100ВТ AC 100-120/200-240В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
355979,4025201197,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK BASIC 650 IEC,,"650ВА 360ВТ 162-285В 100X143X278 4,35КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
356000,4025201198,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM SPIDER SPD-750U LCD,,750ВА 450ВТ 8РОЗЕТОК 285X103X232 ММ 7.4 КГ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
356440,4025201200,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK BASIC 1050,,"1050ВА 162-275В USB TYPE B 100Х143Х278 5,35КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
356554,4025201202,БЛОК ПИТАНИЯ,COOLER MASTER MPX-7501-AMAAB-EU,,ATX 12В 120ММ 9XSATA 4XPCI-E6+2 APFC 80+ BRONZE 140Х150Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
356594,4025100137,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,GAMEMAX GE-450,,450ВТ ATX 12V 2.31 120Х120 140Х150Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
357431,4025201205,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BE650G2-RS,,650ВА 180-266 В/47-63ГЦ/EURO 6/2/ 45ДБ/130Х365Х120ММ / ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
357696,4025201204,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,RAPAN-UPS 1000,,170-290В 1000ВА 600ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
360073,4025201207,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERMAN BACK PRO 800I PLUS,,"800ВА/480ВТ/4РАЗЪЕМА/USB/8Ч/IP20 101Х142Х298 5,5КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
360499,4025201208,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BE850G2-RS,,"850ВА/520ВТ/8ХCEE-7(6+2)/USB-TYPE-C/130Х120Х365ММ/4,5КГ/ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
360940,4025200881,ИСТОЧНИК ПИТАНИЯ ОБЪЕКТНЫХ КОНТРОЛЛЕРОВ СТРЕЛОК,3NSS003995-03 PSU-151,,"3Х380В 1,5КВА 520Х350Х160",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
361716,4025201209,БЛОК ПИТАНИЯ,THERMALTAKE TOUGHPOWER GRAND RGB PS-TPG-0750FPCGEU-R,,"ATX 12V 2.3/ EPS12V 750ВТ 240В 62,5А 150Х86Х160 1.5КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
361743,4025240237,БЛОК ПИТАНИЯ,ACCORD ACC-600W-80BR,,"АТХ 12V V2.31 600ВТ 24+4+4 PIN 2Х(6+2) 2XMOLEX/6XSATA/1XFDD 150Х140Х86 2,216КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
362256,4025100073,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX-PLUS-500W,,500ВТ ATX12V=2.3 ВЕНТИЛЯТОР=120Х120 140Х150Х86 ЧЕРНЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
362514,4025100139,БЛОК ПИТАНИЯ,AEROCOOL VX PLUS 800,,"800ВТ ATX12В 2,3 20+4PIN DВЕНТИЛЯТОРА=120 140Х150Х86",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
362536,4025240238,БЛОК ПИТАНИЯ,AEROCOOL ECO-450W,,"ATX 12V V.2.3 450ВТ 24+4 PIN 6 PIN 2XMOLEX/2XSATA/1XFDD 150Х86Х140 1,2КГ СЕРЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
363690,4025201212,БЛОК ПИТАНИЯ КОММУТАТОРА,HUAWEI PAC150S12-R,,150ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
363812,4025240239,БЛОК ПИТАНИЯ,AEROCOOL AERO BRONZE 550,,550ВТ 200-240В 120ММ ATX,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
364266,4025201213,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK BASIC 650 IEC,,"650ВА 360ВТ 162-285В 3ХIEC320C13 100Х143Х278 4,35КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
365059,4025240243,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UTC650E,,"ЛИНЕЙНО-ИНТЕРАКТИВНЫЙ, 650ВА/360ВТ, 2 РОЗЕТКИ, 84Х252Х159 3,6КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
365107,4025201214,БЛОК ПИТАНИЯ,FSP Q-DION QD-600-PNR 80+,,"600ВТ/24+4+4 PIN/6+2 PIN ATX/150Х86Х140 1,45КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
365680,4025201218,БЛОК ПИТАНИЯ,ACD PUO1250V-G,,"1250ВТ ATX12V2.4 20+8PIN 86Х150Х160 4,56КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
365735,4025240244,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON INNOVA G2 3К,,"3000 ВА/2700 ВТ/USB/RS-232/190X327X399/22,7 КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
365779,4025240248,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS PRO BR900G-RS,,900 ВА/540 ВТ/100X250X382/10.72 КГ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
365803,4025240247,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON INNOVA G2 1К,,"1000 ВА/900 ВТ/USB, RS-232/144X228X356/9,2 КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
365804,4025240245,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK COMFO PRO 800,,"800 ВА/480 ВТ/USB, RS-232/120X202X295/8КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
