,форм-фактор,мощность,стандарт эффективности,pfc,тип товара в одно слово,тип товара в 2 слова,Наименование,Параметры_изначальные,тип,длина кабеля,особенности,максимальная нагрузка,выходная мощность,выходных разъемов,разъемов с питанием от батареи,интерфейсы,аритикул маркета,модель/исполнение,номин. напряжение,емкость батареи,источник света,тип цоколя,тип питания,Тип товара в одно слово,Тип товара в 2 слова,артикул маркета,тип товара в два слова,назначение,модель совместимого устройства,тип аккумулятора,цвет товара,выход. напряжение (мин),корпус,артикула маркета
569,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВА 230В'],,,,,650,,,,,,,,,,,,,,,,,,,,,
570,,400,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['400ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
571,,5а,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['230В 5А'],,,,,,,,,,,,,,,,,,,,,,,,,,
572,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['400ВА 200ВТ'],,,,,400ва,,,,,,,,,,,,,,,,,,,,,
573,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ЛИНЕЙНО-ИНТЕРАКТИВНЫЙ'],['750ВА 230В USB 8РОЛЗЕТОК CEE7/7 SCHUKO 279Х152Х120 ЧЕРНЫЙ'],,,,,750,8,,usb,,,,,,,,,,,,,,,,,,
574,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА 230В 2U RACKMOUNT/TOWER'],,,,,1000ва,,,,,,,,,,,,,,,,,,,,,
575,atx,850,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['850ВТ 220В'],,,,,,,,,,,,,,,,,,,,,,,,,,
576,atx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ К СИСТЕМНОМУ БЛОКУ'],['350ВТ 220В ATX12V 2.0V'],,,,,,,,,,,,,,,,,,,,,,,,,,
577,,,,,бесперебойник,источник питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['400ВА 230В'],,,,,400,,,,,,,,,,,,,,,,,,,,,
578,atx,400,атх12в v 2.01,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['400ВТ 220-240В ATX12V V 2.01 86Х150Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
579,,200,,,блок,блок питания,['БЛОК ПИТАНИЯ К СЕРВЕРУ'],['200ВТ 220В'],,,,,,,,,,,,,,,,,,,,,,,,,,
580,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА/300ВТ 230В'],,,,,500ва/300вт,,,,,,,,,,,,,,,,,,,,,
581,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['400ВА'],,,,,400,,,,,,,,,,,,,,,,,,,,,
582,,,,,ИБП,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВА 230В'],,,,,650,,,,,,,,,,,,,,,,,,,,,
583,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['750ВА 230В 140Х160Х360'],,,,,750,,,"usb, serial",,,,,,,,,,,,,,,,,,
584,,,,,источник,Источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['350ВА 230В 7А 165Х91Х284 6,32КГ']",,,,,350ватт,,,,,,,,,,,,,,,,,,,,,
585,atx,400,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['ATX 400ВТ/ATX12V 2.3/ВЕНТИЛЯТОР=80Х80/LКАБЕЛЯ=0,3М 86Х150Х110']",,,,,,,,,,,,,,,,,,,,,,,,,,
586,atx,400,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['400ВТ ATX12V 2.2 ВЕНТИЛЯТОР=120Х120 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
587,,400 вт,,,блок,блок питания,['БЛОК ПИТАНИЯ К СИСТЕМНОМУ БЛОКУ'],['400ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
588,,50,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['12-15В 50ВТ 220Х100Х40'],,,,,,,,,,,,,,,,,,,,,,,,,,
589,atx,400,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['ATX 400ВТ 200/240В 20+4 PIN 1ВЕНТИЛЯТОР=80Х80 150Х90Х200 0,8КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
590,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['300КВА 380/220В 400/230В 415/240В, SNMP, КАРТА MODBUS, КАРТА ДОПОЛНИТЕЛЬНЫХ СУХИХ КОНТАКТОВ, ENVIROPROBE, SNMP КОНЦЕНТРАТОР, 1600Х865Х1950 1335КГ']",,,,,300ква,,,"snmp, модбас",,,,,,,,,,,,,,,,,,
591,,2,,,блок,блок питания,['БЛОК ПИТАНИЯ ЯЩИКА АВТОМАТИЧЕСКОЙ СИСТЕМЫ УПРАВЛЕНИЯ ДВУХКАНАЛЬНЫЙ'],['220/24В 2А'],,,,,,,,,,,,,,,,,,,,,,,,,,
592,atx,750,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['750ВТ 230В ATX12V 2.3/EPS12V 150Х86Х160'],,,,,,,,,,,,,,,,,,,,,,,,,,
593,atx-12v,750,,pfc,блок,блок питания,['БЛОК ПИТАНИЯ'],"['750ВТ, 220В, ATX-12V V.2.3/EPS-12V, PS-2 TYPE WITH 14CM FAN, PFC']",,,,,,,,,,,,,,,,,,,,,,,,,,
594,,500ма,,,система,сетевая система,['СИСТЕМА СЕТЕВАЯ ПИТАНИЯ ДЛЯ СВЕТИЛЬНИКА ПЕРЕНОСНОГО СИНЕГО СВЕТА'],['220В 500МА'],,,,,,,,,,,,,синий свет,,220в,,,,,,,,,,,
595,atx,600,,apfc,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['600ВТ ATX 12V 2.3 APFC D=120 2PCI-E 4SATA 140Х150Х86 1.39КГ'],,,,,,,,,,,,,,,,,,,,,,,,,,
596,atx,400,86,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['400ВТ 220-240В ATX12V V 2.01 86Х150Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
597,,400,,,блок,блок питания,['БЛОК ПИТАНИЯ КОММУТАТОРА'],"['400ВТ AC 90-264В 300Х200Х100 1,5КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
598,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['360 ВТ, 600 ВА, 162-290 В, 45-65 ГЦ, ЧЕРНЫЙ']",,,,,360 вт,,,,,,,,,,,,,,,,,,,,,
599,,,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['100-240В 0,3А RJ-12(6P6C) LКАБЕЛЯ=1,5М 69Х27Х38 0,2КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
600,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['405ВТ 700ВА 180-266В 50-60ГЦ 8 РАЗЪЕМОВ ПИТАНИЯ'],,,,,700ва,8,,,,,,,,,,,,,,,,,,,,
601,,5,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ СЕТЕВОГО ОБОРУДОВАНИЯ'],"['220/5В 1А РАЗЪЕМ-5,5Х2.5']",,,,,,,,,,,,,,,,,,,,,,,,,,
602,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ МОДУЛЬНЫЙ'],"['550ВТ 220В 50/60ГЦ ATX 12V 1Х20+4PIN 2Х4+4PIN 2Х6+2PIN 10ХSATA 3ХMOLEX DВЕНТИЛЯТОРА=120 140Х150Х86 1,62КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['500ВА 400ВТ 3ХIEC 320 C13 155/300В 50-60ГЦ ЧЕРНЫЙ'],,,,,500ва,3хiec 320 c13,,,,,,,,,,,,,,,,,,,,
604,,750,,,блок,бесперебойное питание,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['750ВА/230В/RS-232, USB/IEC 320 C13 (КОМПЬЮТЕРНЫЙ)/4 РАЗЪЕМОВ/355Х120Х160ММ/5,4КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['230В 3КВА/2700ВТ LCD+LED EPO RS-232 USB SMARTSLOT БЕЗ АКБ ЗУ 12А DC-ШИНА 72В IEC-C13Х8 + IEC-C19 440Х435Х86,5(2U) 8,6КГ']",,,,,3000,8,,"rs-232, usb, smartslot",,,,,,,,,,,,,,,,,,
606,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['230В 600А/360ВТ LED IEC-C13Х4 96Х286Х138 4,3КГ']",,,,,360,4,,,,,,,,,,,,,,,,,,,,
607,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА 208/220/230/240В 4ХIEC320-C13 144Х357Х228 10,4КГ ЧЕРНЫЙ']",,,,,1000ва,4хiec320-c13,,,,,,,,,,,,,,,,,,,,
608,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['230В 1КВА/900ВТ LCD USB EPO RS-232 USB SMARTSLOT АКБ 2Х9А/ЧАС IEC-C13Х8 440Х325Х86,5(2U) 11,3КГ']",,,,,900,8,,"usb, rs-232",,,,,,,,,,,,,,,,,,
609,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['230В 2КВА/1400ВТ LCD RS-232 USB EPO SNMPSLOT 12В/9А/ЧАСХ2 IEC-C13Х4 ОПЦИОНАЛЬНО RJ-45/RJ-11 438Х430Х88(2U) 16,5КГ']",,,,,2000,4,2,"rs-232, usb, epo, snmpslot",,,,,,,,,,,,,,,,,,
610,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ 230В ATX 12V 2.3 24+8(4+4)PIN 3SATA DВЕНТИЛЯТОРА=120ММ 140Х86Х150'],,,,,,,,,,,,,,,,,,,,,,,,,,
611,,650,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА/230В/400ВТ/RS-232, USB/IEC 60320 C14 (КОМПЬЮТЕРНЫЙ)/4 РАЗЪЕМОВ/284Х165Х91ММ/6,03КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
612,atx,750,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['750ВТ 230В ATX 12V 2.3 24+8(4+4)PIN 6SATA DВЕНТИЛЯТОРА=120ММ 140Х86Х150'],,,,,,,,,,,,,,,,,,,,,,,,,,
613,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['3000ВА 230В 8ХС13(220-240V), 1XC19, WEB/SNMP, USB, COM 432Х85Х667 37,3КГ ЧЕРНЫЙ']",,,,,3000ва,"8хс13, 1xc19",,"web/snmp, usb, com",,,,,,,,,,,,,,,,,,
614,atx,750,bronze,apfc,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['750ВТ 220В ATX-12V V.2.3/EPS-12V 6ХSATA 24+2X(4+4) PIN FAN APFC 120ММ,']",,,,,,,,,,,,,,,,,,,,,,,,,,
615,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['500ВА 230В 237Х143Х373 3,9КГ']",,,,,500,,,,,,,,,,,,,,,,,,,,,
616,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['700ВА 220В 8 РОЗЕТОК 205Х285Х94'],,,,,700,8,,,,,,,,,,,,,,,,,,,,
617,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['2200 ВА/1200 ВТ/IEC 320 C13 /USB/139X195X364 / 10.8 КГ'],,,,,1200 вт,"iec 320 c13, usb",,,,,,,,,,,,,,,,,,,,
618,,,,,ибп,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА 220В 231Х81Х185 3,4КГ']",,,,,600вт,,,,,,,,,,,,,,,,,,,,,
619,atx,400,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['400ВТ ATX2.3 20+4PIN DВЕНТИЛЯТОРА=120 LПРОВОДОВ=350'],,,,,,,,,,,,,,,,,,,,,,,,,,
620,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1,5КВА 230В']",,,,,"1,5ква",,,,,,,,,,,,,,,,,,,,,
621,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['750ВА 230В 115Х200Х256 5,8КГ']",,,,,750,,,,,,,,,,,,,,,,,,,,,
622,,,,,модуль,модуль питания,['МОДУЛЬ ПИТАНИЯ'],['4КВА POWER MODULE 220/230/240В'],,,,,,,,,,symp4ki,220/230/240в,,,,,,,,,,,,,,,
623,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1500ВА 230В'],,,,,1500,,,,,,,,,,,,,,,,,,,,,
624,атх,450,v2.3,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА КОМПЬЮТЕРА'],"['450ВТ АТХ V2.3 115-230В 150Х140Х86 0,85КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
625,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА 220В 125Х86Х320 3,7КГ']",,,,,600,,,,,,,,,,,,,,,,,,,,,
626,atx,400,80,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['400ВТ/ATX 12В/80Х80/2ХMOLEX/2ХSATA/FDD 150Х85Х140 00,78КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
627,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ПЕРЕМЕННОГО ТОКА'],"['220В 1КВА/0,7КВТ 450Х88Х482 8КГ']",,,,,1000,,,,,,,,,,,,,,,,,,,,,
628,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['700ВА 220В ЖК-ЭКРАН IEC320C13 USB 278Х100Х143 4,65КГ ЧЕРНЫЙ']",,,,,700ва,,,"iec320c13, usb",,,,,,,,,,,,,,,,,,
629,,320,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['12В 320ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
630,,,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['220В'],,,,,,,,,,,,,,,,,,,,,,,,,,
631,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['450ВТ ATX 220-230/12/3,3/5В 20+4PIN/1Х4PIN 150Х140Х86']",,,,,,,,,,,,,,,,,,,,,,,,,,
632,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['2200ВА 230В 2Х9А/ЧАС 180Х140Х326'],,,,,2200,2,,,,,,,,,,,,,,,,,,,,
633,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['700ВА 230В'],,,,,700,,,,,,,,,,,,,,,,,,,,,
634,,350,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['350ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
635,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ПЕРЕМЕННОГО ТОКА'],"['220В 1КВА/0,7КВТ 450Х88Х482 14,5КГ']",,,,,"1ква/0,7квт",,,,,,,,,,,,,,,,,,,,,
636,атх,450,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА КОМПЬЮТЕРА'],"['450ВТ АТХ V2.3 115-230В 150Х110Х86 0,6КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
637,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ ПРОЦЕССОРА'],['500ВТ 230В INTEL ATX 12V 2.3 D1ВЕНТИЛЯТОРF=120 86Х140Х150 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
638,atx,1000,,,блок,,['БЛОК ПИТАНИЯ'],['1000ВТ ATX 12V 2.4 ВЕНТИЛЯТОР=120Х120 140Х150Х86 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,блок питания,,,,,,,
639,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ К СИСТЕМНОМУ БЛОКУ'],"['550ВТ ATX12V2.4+4 PIN 150Х86Х140 2,05КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
640,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['700ВА/420ВТ/АПРОКСИМАЦИЯ СИНУСОИДЫ/8/4SCHUKO CEE7/285Х232Х103/ЧЕРНЫЙ'],,,,,700ва/420вт,8,4,schuko cee7,,,,,,,,,,,,,,,,,,
641,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['700ВА/420ВТ/АПРОКСИМАЦИЯ СИНУСОИДЫ/8/4SCHUKO CEE7/USB TYPE A/ЖК-ДИСПЛЕЙ/285Х232Х103 ЧЕРНЫЙ'],,,,,700,8,4,"schuko, cee7, usb type a",,,,,,,,,,,,,,,,,,
642,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА 480ВТ IEC 320 C13Х4 USB IP20 86Х140Х306 5,88КГ ЧЕРНЫЙ']",,,,,480,4,,usb,,,,,,,,,,,,,,,,,,
643,atx,500,80+,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['500ВТ 80Х80 ATX 12V 2.3 20+4PIN 140Х150Х86 0,75КГ СЕРЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
644,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВA 360ВТ IEC320 С13Х4 USB RJ-45 LINE-INTERACTIVE 324Х140Х205 4,4КГ ЧЕРНЫЙ']",,,,,600,4,,"usb, rj-45",,,,,,,,,,,,,,,,,,
645,,600,80+,apfc,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['APFC 120ММ 2PCI 6SATA 80+ (PS-600FK)'],,,,,,,,,,,,,,,,,,,,,,,,,,
646,,,,,ИБП,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА/360ВТ 293Х202Х93 4,7КГ ЧЕРНЫЙ']",,,,,600,,,,,,,,,,,,,,,,,,,,,
647,atx,600,80 плюс,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ 20+4PIN ATX12В DВЕНТИЛЯТОРА=120 86Х150Х140 1,17КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
648,atx,750,85,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['750ВТ ATX12В DВЕНТИЛЯТОРА=140 85Х150Х140 1,7КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
649,atx,650,80 plus gold,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['650ВТ 80 PLUS GOLD ATX 12V V2.52 240В 24PIN/2X(4+4)PIN/6Х(6+2)PIN ВЕНТИЛЯТОР=140 150Х86Х160 2,945КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
650,,45вт,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА'],"['45ВТ 20В 2.25А 4,0Х1,7 ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
651,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА 480ВТ USB 125Х254Х150 5,4КГ ЧЕРНЫЙ']",,,,,480,,,usb,,,,,,,,,,,,,,,,,,
652,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['495ВТ 825ВА 105Х334Х168 6,4КГ ЧЕРНЫЙ']",,,,,495,,,,,,,,,,,,,,,,,,,,,
653,atx,650,80 plus,,блок,питания термалтейк,['БЛОК ПИТАНИЯ'],['650ВТ ATX 12V 2.3 ВЕНТИЛЯТОР=120 80 PLUS 86Х150Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
654,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВА/360ВТ 140-300/220В 8ЕВРОРОЗЕТОК 200Х275Х117 4,7КГ ЧЕРНЫЙ']",,,,,600,8,,,,,,,,,,,,,,,,,,,,
655,,250,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['250ВТ РАЗЪЕМ ПИТАНИЯ 4PIN 150Х81Х64'],,,,,,,,,,,,,,,,,,,,,,,,,,
656,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА/480ВТ 162-295/220В 6ЕВРОРОЗЕТОК 185Х280Х95 5,9КГ ЧЕРНЫЙ']",,,,,480,6,,,,,,,,,,,,,,,,,,,,
657,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['900ВА/540ВТ, SERIAL+USB, 12В/9АЧАС, 285Х232Х103, 7,5КГ, ЧЕРНЫЙ']",,,,,540,,,serial+usb,,,,,,,,,,,,,,,,,,
658,пин,66,,,блок,блок питания,['БЛОК ПИТАНИЯ МОНИТОРА'],"['19В 3,474А 66ВТ 6,5X4,4 W/PIN']",,,,,,,,,,,,,,,,,,,,,,,,,,
659,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['800ВА 480ВТ 220В 9АЧ 298Х101Х142 4,9КГ']",,,,,480,,,,,,,,,,,,,,,,,,,,,
660,,460,,,блок,блок питания,['БЛОК ПИТАНИЯ ВЫСОКОВОЛЬТНЫЙ'],['240В 50ГЦ 460МА ВЧ ТРИОДА 2% 5МС'],,,,,,,,,,,,,,,,,,,,,,,,,,
661,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА 800ВТ 155-300/220-240В IEC 320-C13 8РОЗЕТОК IEC320 428Х431Х84 14,6КГ ЧЕРНЫЙ']",,,,,800,8,,,,,,,,,,,,,,,,,,,,
662,atx12в,750,86,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['750ВТ ATX12В DВЕНТИЛЯТОРА=120 86Х150Х160 1,98КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
663,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ ATX 100/240В'],,,,,,,,,,,,,,,,,,,,,,,,,,
664,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['800ВА 50/60ГЦ 96Х286Х138 7,5АЧ 12В']",,,,,800,,,,,,,,,,,,,,,,,,,,,
665,,,,,фильтр,сетевой фильтр,['ФИЛЬТР СЕТЕВОЙ'],"['6РОЗЕТОК 5М 220В 16А 3500ВТ EURO 400Х470Х390 0,67КГ ЧЕРНЫЙ']",фильтр,5м,,3500вт,,,,,,,,,,,,,,,,,,,,,,
666,tfx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['350ВТ TFX OEM D=80 220В 80Х65Х175 1,04КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
667,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['500ВТ ATX V2.4 ВЕНТИЛЯТОР=120Х120 230В 150X85X140 1,06КГ СЕРЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
668,atx,1100,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['1100ВТ ATX12В 140Х140 2,3КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
669,atx12в,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['500ВТ ATX12В 120Х120 1,52КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
670,atx12в,800,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['800ВТ ATX12В 140Х140 1,8КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
671,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['600ВТ 120Х120 ATX 12В 1,7КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
672,,700,80plus bronze,apfc,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['700ВТ/80PLUS BRONZE/APFC/20+4 PIN/1X 4+4 PIN CPU/2X MOLEX/6X SATA'],,,,,,,,,,,,,,,,,,,,,,,,,,
673,atx,650,bronze,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['650ВТ 220-240В ATX'],,,,,,,,,,,,,,,,,,,,,,,,,,
674,,180,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['180ВТ/250ВТ 100-127/220-240В 50-60ГЦ 12В 150Х81Х64'],,,,,,,,,,,,,,,,,,,,,,,,,,
675,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['2000/1800ВА/ВТ 230В 438Х88Х430 26,2КГ']",,,,,2000,,,,,,,,,,,,,,,,,,,,,
